#{"t_start": 1771510861.7328315, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
125.0,2421,538.929826
600.0,4157,541.051812
325.0,3573,547.193966
720.0,3217,549.289265
190.0,2411,550.458177
625.0,3523,552.229915
195.0,2275,553.346516
120.0,1377,554.042935
280.0,2575,555.345963
235.0,2439,556.620002
405.0,2445,557.934203
115.0,1785,559.088416
455.0,3587,560.988217
150.0,2061,561.967438
210.0,2747,563.302908
250.0,2655,564.615337
155.0,2027,565.645469
205.0,2675,567.014004
870.0,6243,570.514369
270.0,2161,571.667026
460.0,2729,572.983582
265.0,2421,574.151819
140.0,2011,575.135326
455.0,4307,577.300623
390.0,3924,579.32765
225.0,2601,581.011206
540.0,4567,583.37831
250.0,2301,584.577113
275.0,3245,586.221048
360.0,3265,587.886362
190.0,2037,588.933703
220.0,2401,590.530597
80.0,1307,591.390493
305.0,2925,592.959014
490.0,5109,595.416423
210.0,1947,596.371975
125.0,1565,597.148191
415.0,3517,598.9179
655.0,4077,606.358157
130.0,1785,607.48656
650.0,5687,610.266078
235.0,2381,611.433797
320.0,2987,612.919261
425.0,4069,615.005299
415.0,2421,616.25175
280.0,2357,617.585308
170.0,1969,618.839345
270.0,2637,620.232725
245.0,2241,621.302036
470.0,3093,622.811105
210.0,2017,623.808524
220.0,2559,625.096779
150.0,2861,626.558488
215.0,2341,627.780104
205.0,3123,629.757867
245.0,2395,630.916867
190.0,1951,631.855312
470.0,3839,633.757552
280.0,3193,635.351276
200.0,2081,636.430811
145.0,2077,637.507745
370.0,3289,639.356063
215.0,1921,640.566907
135.0,1791,641.500314
230.0,2287,642.581235
110.0,1095,643.103423
190.0,1905,644.028285
330.0,3377,645.709003
190.0,1957,646.695485
280.0,2021,647.731951
160.0,1959,648.745631
215.0,2457,650.156349
225.0,2309,651.650104
560.0,2795,653.117382
210.0,1835,653.98189
605.0,4001,655.932401
585.0,2803,657.352947
95.0,1549,658.132929
620.0,3389,663.5078
310.0,3407,665.324837
245.0,3279,666.908109
245.0,2531,668.146507
510.0,4101,670.188396
175.0,1923,671.162848
90.0,1313,671.847054
255.0,2489,673.215135
225.0,3065,675.102209
230.0,2255,676.160333
330.0,3213,677.696902
370.0,2647,678.985496
555.0,4071,681.011732
940.0,6001,684.063453
285.0,3237,685.965307
195.0,2139,687.259428
205.0,1893,688.146418
